"ID_CONDICAO","DESCRICAO","PARCELAS","INTERVALO_DIAS_PARC","STATUS"
1,"Crédito 1x",1,30,"Ativo"
2,"Crédito 2x",2,30,"Ativo"
3,"Crédito 3x",3,30,"Ativo"
24,"Boleto 2x",2,30,"Ativo"
25,"Boleto 2x ",2,15,"Ativo"
26,"Boleto 3x ",3,15,"Ativo"
27,"Boleto 3x",3,30,"Ativo"
21,"Crediário",1,30,"Ativo"
22,"Débito",1,0,"Ativo"
23,"Boleto",1,0,"Ativo"
